District,Job Openings,Agriculture Forestry Fishing and Hunting jobs,Mining Quarrying and Oil and Gas Extraction jobs,Utilities jobs,Construction jobs,Manufacturing jobs,Wholesale Trade jobs,Retail Trade jobs,Transportation and Warehousing jobs,Information jobs,Finance and Insurance jobs,Real Estate and Rental and Leasing jobs,Professional Scientific and Technical Services jobs,Management of Companies and Enterprises jobs,Administration & Support Waste Management and Remediation jobs,Educational Services jobs,Health Care and Social Assistance jobs,Arts Entertainment and Recreation jobs,Accommodation and Food Services jobs,Public Administration jobs,Other Services (excluding Public Administration) jobs,fast food jobs,Median Salary,Location ZIP Code
"Allied Gardens, Del Cerro",40,0,0,2,2,2,4,7,3,12,3,2,9,11,3,3,10,5,0,4,13,4,37566.0,92120
Alpine,17,1,1,0,1,0,0,5,0,4,1,0,3,9,4,1,4,2,1,1,1,0,50394.0,91901
Bonita,8,0,0,0,0,0,1,0,0,3,0,0,1,3,1,3,0,0,0,0,2,1,35479.0,91902
Campo,6,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,3,1,1,0,2,35246.0,91906
Cardiff,8,2,0,0,0,0,1,1,0,3,1,0,0,1,0,2,0,0,1,0,0,3,33392.0,92007
Carlsbad,372,27,13,12,25,39,29,57,16,75,48,6,60,118,9,34,43,54,22,39,49,25,39892.4,92008
Carmel Valey,90,1,0,0,7,3,8,26,1,21,22,0,11,28,3,8,2,9,1,6,10,11,41740.0,92130
Chula Vista,271,7,3,4,27,9,26,71,7,81,25,5,32,47,11,14,69,29,3,39,78,33,48745.42857142857,91910
City Heights,25,0,0,0,1,0,1,2,1,10,2,1,2,6,0,3,5,3,0,4,5,1,39653.0,92105
Clairemont,39,5,0,1,3,1,5,16,5,3,5,2,0,8,1,2,2,9,5,4,7,14,35479.0,92117
College,63,0,2,1,2,2,1,11,6,26,3,1,9,11,1,20,12,8,5,21,6,13,39096.0,92115
Coronado,102,2,3,0,5,4,3,11,3,19,8,0,16,30,3,6,13,12,11,10,9,25,48240.625,92118
Del Mar,35,3,0,0,1,0,1,3,2,5,3,2,2,5,3,8,5,3,1,2,2,8,42783.5,92014
Downtown,665,13,20,16,40,28,52,110,22,237,91,31,86,190,30,34,49,116,33,92,97,135,58963.5,92101
El Cajon,219,4,0,18,47,23,18,38,7,49,12,7,33,52,6,30,20,33,1,27,34,19,41528.0,92020
Encanto,19,0,0,0,5,1,0,5,0,8,4,0,5,3,2,5,2,5,0,2,4,0,35396.0,92114
Encinitas,81,11,1,3,8,2,13,29,1,23,2,1,8,24,6,5,13,10,3,8,13,6,35479.0,92024
Escondido,204,8,2,2,16,11,11,40,6,43,18,3,37,43,6,14,54,19,8,31,33,26,37829.5,92025
Fallbrook,25,1,0,1,4,2,1,4,3,6,2,0,6,7,2,5,4,4,1,2,6,0,37739.5,92028
Golden Hill,69,1,8,1,3,3,5,13,8,23,14,1,7,19,1,6,10,11,1,11,16,10,40300.0,92102
"Hillcrest, Mission Hills",120,7,4,2,8,0,1,24,3,17,17,0,14,32,2,20,30,11,2,9,26,21,37566.0,92103
Imperial Beach,12,0,0,2,0,1,0,0,1,6,1,0,1,0,3,0,2,1,0,3,4,1,32348.5,91932
Jamul,10,0,1,0,1,4,2,2,0,0,1,0,1,1,1,0,0,0,0,1,0,2,35233.0,91935
"Kensington, Normal Heights",11,0,0,1,0,0,1,1,1,2,0,0,1,4,0,0,3,1,0,0,1,4,33392.0,92116
La Jolla,201,2,3,0,10,9,11,33,4,42,23,1,31,58,7,50,38,23,9,13,46,25,56041.25,92037
La Mesa,129,6,9,3,16,2,8,23,4,38,6,1,15,22,1,15,53,12,5,16,61,18,35408.333333333336,91942
Lakeside,27,0,1,1,3,3,3,3,1,6,1,1,7,9,0,4,1,2,2,3,6,2,35700.0,92040
Lemon Grove,16,0,0,2,2,1,0,2,0,6,1,0,4,0,0,1,5,2,1,1,0,2,33392.0,91945
Linda Vista,155,2,1,6,15,5,10,39,6,47,15,0,22,34,4,11,14,13,5,12,25,26,35439.5,92111
Logan Heights,77,1,3,2,13,1,4,15,5,32,8,1,10,22,4,4,2,10,2,5,13,18,40901.75,92113
Midway,9,0,0,0,1,0,1,7,0,7,0,0,0,2,0,0,0,0,0,7,0,1,35479.0,92140
Mira Mesa,100,2,1,2,15,8,19,20,7,29,8,0,13,18,2,8,6,13,3,4,13,19,37566.0,92126
Miramar,15,0,1,1,3,0,3,3,0,6,0,0,2,3,0,3,2,1,1,2,1,2,41740.0,92145
Mission Valley,246,8,9,3,20,6,12,52,5,69,32,6,26,71,9,26,25,32,20,26,39,49,40700.0,92108
Morena,143,5,2,1,14,2,6,27,8,44,9,2,43,47,3,10,20,22,11,13,21,37,36480.0,92110
National City,132,4,3,4,5,6,9,34,6,40,11,1,15,21,1,2,28,22,8,18,35,42,33392.0,91950
North Park,46,0,5,0,11,1,1,11,3,9,5,0,0,12,1,2,8,3,4,3,2,22,37566.0,92104
Ocean Beach,7,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,2,1,1,1,2,35479.0,92107
Oceanside,219,9,5,9,12,10,18,45,13,65,24,3,35,54,16,12,28,23,0,34,35,23,40526.57142857143,92054
Otay Mesa,76,0,0,3,1,12,2,7,21,25,7,1,12,15,2,2,8,8,0,10,14,6,44870.5,92154
"Pacific Beach, Mission Beach",64,2,2,1,11,1,4,9,0,13,3,3,4,21,0,1,4,11,11,6,8,15,33392.0,92109
Paradise Hills,10,0,0,0,2,0,0,5,0,5,0,0,1,2,0,0,2,1,0,0,3,2,33392.0,92139
Pauma Valley,5,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,2,30800.0,92061
Penasquitos,28,2,0,0,2,2,4,3,0,14,7,0,4,9,1,4,4,2,0,2,4,2,37566.0,92129
Point Loma,67,1,1,4,2,0,5,16,0,28,11,1,11,14,0,13,5,18,2,6,9,7,42214.5,92106
Poway,114,5,3,2,10,5,11,24,14,24,11,2,15,38,3,7,20,13,1,10,15,19,36933.0,92064
Ramona,12,1,0,0,2,3,0,0,0,1,0,0,3,2,0,2,1,2,1,1,0,4,32389.5,92065
Rancho Bernardo,177,6,6,4,15,13,8,30,9,40,18,3,50,52,7,16,20,27,3,8,33,12,43953.5,92127
Rancho Santa Fe,8,3,0,0,2,0,0,0,0,2,0,0,1,2,1,1,0,1,1,0,2,2,41740.0,92067
San Carlos,7,1,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,5,0,1,0,2,33392.0,92119
San Marcos,140,7,1,7,19,7,14,41,8,40,11,4,18,37,4,26,13,14,3,18,24,23,38893.0,92069
San Ysidro,30,2,0,0,0,0,4,13,0,6,3,0,1,12,1,2,4,5,1,5,4,7,31550.0,92173
Santee,43,0,3,1,3,5,6,13,1,10,5,1,2,6,1,6,2,6,1,4,9,7,35339.5,92071
Scripps Ranch,53,3,1,1,6,2,5,12,1,15,12,1,7,13,4,11,3,7,5,6,20,13,39653.0,92131
Serra Mesa,218,3,11,14,26,11,12,35,12,89,37,5,30,67,12,17,27,20,2,33,26,28,41740.0,92123
Solana Beach,30,8,0,2,1,0,3,4,0,11,4,0,4,13,0,4,2,2,1,3,2,8,33796.0,92075
Sorrento Valley,559,10,11,78,42,60,44,152,36,171,78,8,147,181,13,42,30,37,2,43,96,12,52175.0,92121
Spring Valley,36,1,0,1,3,1,2,10,4,9,3,2,6,7,1,3,7,8,0,2,6,0,35973.666666666664,91978
Tierrasanta,5,0,0,0,0,0,1,1,0,3,0,0,1,0,1,0,0,0,1,0,0,1,30450.0,92124
University City,86,4,1,0,9,0,9,17,2,30,23,1,5,28,4,24,12,6,2,6,11,11,37566.0,92122
Valley Center,22,2,0,1,0,1,0,0,0,2,4,0,1,3,1,0,3,3,7,2,3,1,35739.5,92082
Vista,146,9,2,11,10,21,8,33,8,41,8,1,19,42,4,17,16,10,2,15,17,14,38476.25,92083
